x,phi
2.500000000000000139e-02,2.761321155544610217e+00
7.500000000000001110e-02,2.955505723920517802e+00
1.250000000000000000e-01,3.144406921589365300e+00
1.749999999999999889e-01,3.328166424449404914e+00
2.250000000000000056e-01,3.506922052127781075e+00
2.750000000000000222e-01,3.680807871345253446e+00
3.250000000000000111e-01,3.849954296466234549e+00
3.750000000000000000e-01,4.014488187309564360e+00
4.249999999999999889e-01,4.174532944293376069e+00
4.749999999999999778e-01,4.330208600985407053e+00
5.250000000000000222e-01,4.481631914128176852e+00
5.749999999999999556e-01,4.628916451206541716e+00
6.250000000000000000e-01,4.772172675623312266e+00
6.750000000000000444e-01,4.911508029546799214e+00
7.250000000000000888e-01,5.047027014492444508e+00
7.750000000000000222e-01,5.178831269698958906e+00
8.250000000000000666e-01,5.307019648357746533e+00
8.750000000000000000e-01,5.431688291752801767e+00
9.249999999999999334e-01,5.552930701366672217e+00
9.749999999999999778e-01,5.670837809006567198e+00
1.024999999999999911e+00,5.785498045003215850e+00
1.075000000000000178e+00,5.896997404533616205e+00
1.125000000000000000e+00,6.005419512117416758e+00
1.175000000000000044e+00,6.110845684335303396e+00
1.225000000000000089e+00,6.213354990816441159e+00
1.274999999999999911e+00,6.313024313540689825e+00
1.325000000000000178e+00,6.409928404500093713e+00
1.375000000000000000e+00,6.504139941762871580e+00
1.425000000000000044e+00,6.595729583981969846e+00
1.475000000000000089e+00,6.684766023389053125e+00
1.524999999999999911e+00,6.771316037313677150e+00
1.575000000000000178e+00,6.855444538266285193e+00
1.625000000000000000e+00,6.937214622622591698e+00
1.675000000000000266e+00,7.016687617945864375e+00
1.725000000000000089e+00,7.093923128982594584e+00
1.774999999999999911e+00,7.168979082366062627e+00
1.824999999999999956e+00,7.241911770061305376e+00
1.875000000000000000e+00,7.312775891584093024e+00
1.925000000000000044e+00,7.381624595025566116e+00
1.975000000000000089e+00,7.448509516913309092e+00
2.025000000000000355e+00,7.513480820938734261e+00
2.075000000000000178e+00,7.576587235579863133e+00
2.125000000000000000e+00,7.637876090647677252e+00
2.174999999999999822e+00,7.697393352783477916e+00
2.225000000000000089e+00,7.755183659933862828e+00
2.275000000000000355e+00,7.811290354829196758e+00
2.325000000000000178e+00,7.865755517490651272e+00
2.375000000000000000e+00,7.918619996790223325e+00
2.424999999999999822e+00,7.969923441087388483e+00
2.475000000000000089e+00,8.019704327965369473e+00
2.524999999999999911e+00,8.067999993089324917e+00
2.575000000000000178e+00,8.114846658208096031e+00
2.625000000000000000e+00,8.160279458320523815e+00
2.675000000000000266e+00,8.204332468026693803e+00
2.725000000000000089e+00,8.247038727083882748e+00
2.775000000000000355e+00,8.288430265186386592e+00
2.825000000000000178e+00,8.328538125987780205e+00
2.875000000000000000e+00,8.367392390383663781e+00
2.924999999999999822e+00,8.405022199072334388e+00
2.974999999999999645e+00,8.441455774410311363e+00
3.024999999999999911e+00,8.476720441579095322e+00
3.075000000000000178e+00,8.510842649079060962e+00
3.125000000000000000e+00,8.543847988565834939e+00
3.174999999999999822e+00,8.575761214044034020e+00
3.225000000000000089e+00,8.606606260432764444e+00
3.275000000000000355e+00,8.636406261516818006e+00
3.325000000000000178e+00,8.665183567297006562e+00
3.375000000000000000e+00,8.692959760752666298e+00
3.425000000000000266e+00,8.719755674028888848e+00
3.475000000000000533e+00,8.745591404060633067e+00
3.525000000000000355e+00,8.770486327645421909e+00
3.574999999999999734e+00,8.794459115975943320e+00
3.625000000000000000e+00,8.817527748643449570e+00
3.674999999999999822e+00,8.839709527122440846e+00
3.725000000000000089e+00,8.861021087746774327e+00
3.774999999999999911e+00,8.881478414186915415e+00
3.825000000000000178e+00,8.901096849437697855e+00
3.875000000000000000e+00,8.919891107325558011e+00
3.925000000000000266e+00,8.937875283543915472e+00
3.975000000000000089e+00,8.955062866224929863e+00
4.025000000000000355e+00,8.971466746055613228e+00
4.075000000000001066e+00,8.987099225945836878e+00
4.125000000000000000e+00,9.001972030255519286e+00
4.175000000000000711e+00,9.016096313587894429e+00
4.224999999999999645e+00,9.029482669155463270e+00
4.275000000000000355e+00,9.042141136724898942e+00
4.324999999999999289e+00,9.054081210146879499e+00
4.375000000000000000e+00,9.065311844476470426e+00
4.425000000000000711e+00,9.075841462689416161e+00
4.474999999999999645e+00,9.085677961999378383e+00
4.525000000000000355e+00,9.094828719780840842e+00
4.575000000000000178e+00,9.103300599102141177e+00
4.625000000000000000e+00,9.111099953872766832e+00
4.675000000000000711e+00,9.118232633608794657e+00
4.724999999999999645e+00,9.124703987820032225e+00
4.775000000000000355e+00,9.130518870022134692e+00
4.824999999999999289e+00,9.135681641376756090e+00
4.875000000000000000e+00,9.140196173962410242e+00
4.925000000000000711e+00,9.144065853678535305e+00
4.974999999999999645e+00,9.147293582784918442e+00
5.025000000000000355e+00,9.149881782078393755e+00
5.074999999999999289e+00,9.151832392708428188e+00
5.125000000000000000e+00,9.153146877632993395e+00
5.175000000000000711e+00,9.153826222715782279e+00
5.224999999999999645e+00,9.153870937465608648e+00
5.275000000000000355e+00,9.153281055418531764e+00
5.325000000000001066e+00,9.152056134163018442e+00
5.375000000000000000e+00,9.150195255008126693e+00
5.425000000000000711e+00,9.147697022294492442e+00
5.474999999999999645e+00,9.144559562347579273e+00
5.525000000000000355e+00,9.140780522072427416e+00
5.575000000000001066e+00,9.136357067188827230e+00
5.625000000000000000e+00,9.131285880105618702e+00
5.675000000000000711e+00,9.125563157432489803e+00
5.725000000000001421e+00,9.119184607127435171e+00
5.775000000000000355e+00,9.112145445277725742e+00
5.824999999999999289e+00,9.104440392511973457e+00
5.875000000000000000e+00,9.096063670040605231e+00
5.924999999999998934e+00,9.087008995321767202e+00
5.974999999999999645e+00,9.077269577349419194e+00
6.025000000000000355e+00,9.066838111560082680e+00
6.074999999999999289e+00,9.055706774354415955e+00
6.125000000000000000e+00,9.043867217229516697e+00
6.175000000000000711e+00,9.031310560517537667e+00
6.224999999999999645e+00,9.018027386725945505e+00
6.275000000000000355e+00,9.004007733474399089e+00
6.324999999999999289e+00,8.989241086022961014e+00
6.375000000000000000e+00,8.973716369386037783e+00
6.425000000000000711e+00,8.957421940026154772e+00
6.474999999999999645e+00,8.940345577121290077e+00
6.525000000000000355e+00,8.922474473399267580e+00
6.575000000000001066e+00,8.903795225532292079e+00
6.625000000000000000e+00,8.884293824084465996e+00
6.675000000000000711e+00,8.863955643004704399e+00
6.724999999999999645e+00,8.842765428657198612e+00
6.775000000000000355e+00,8.820707288381186117e+00
6.825000000000001066e+00,8.797764678571459385e+00
6.875000000000000000e+00,8.773920392270662560e+00
6.925000000000000711e+00,8.749156546264067913e+00
6.975000000000001421e+00,8.723454567667168646e+00
7.025000000000000355e+00,8.696795179996021474e+00
7.074999999999999289e+00,8.669158388709869101e+00
7.125000000000000000e+00,8.640523466215249471e+00
7.174999999999998934e+00,8.610868936320292377e+00
