x,phi
2.500000000000000139e-02,7.972990424647951713e+00
7.500000000000001110e-02,8.542449152518809541e+00
1.250000000000000000e-01,9.105048564076106743e+00
1.749999999999999889e-01,9.660830854275706869e+00
2.250000000000000056e-01,1.020983770678937752e+01
2.750000000000000222e-01,1.075211029713105582e+01
3.250000000000000111e-01,1.128768929574501811e+01
3.750000000000000000e-01,1.181661487105615826e+01
4.249999999999999889e-01,1.233892669248262486e+01
4.749999999999999778e-01,1.285466393341102531e+01
5.250000000000000222e-01,1.336386527413443126e+01
5.749999999999999556e-01,1.386656890475339488e+01
6.250000000000000000e-01,1.436281252804021236e+01
6.750000000000000444e-01,1.485263336226663000e+01
7.250000000000000888e-01,1.533606814399521845e+01
7.750000000000000222e-01,1.581315313083460161e+01
8.250000000000000666e-01,1.628392410415879255e+01
8.750000000000000000e-01,1.674841637179079612e+01
9.249999999999999334e-01,1.720666477065068278e+01
9.749999999999999778e-01,1.765870366936836433e+01
1.024999999999999911e+00,1.810456697086124578e+01
1.075000000000000178e+00,1.854428811487693807e+01
1.125000000000000000e+00,1.897790008050124300e+01
1.175000000000000044e+00,1.940543538863158446e+01
1.225000000000000089e+00,1.982692610441606362e+01
1.274999999999999911e+00,2.024240383965837609e+01
1.325000000000000178e+00,2.065189975518865495e+01
1.375000000000000000e+00,2.105544456320057378e+01
1.425000000000000044e+00,2.145306852955473076e+01
1.475000000000000089e+00,2.184480147604859823e+01
1.524999999999999911e+00,2.223067278265316560e+01
1.575000000000000178e+00,2.261071138971642469e+01
1.625000000000000000e+00,2.298494580013391086e+01
1.675000000000000266e+00,2.335340408148640279e+01
1.725000000000000089e+00,2.371611386814499767e+01
1.774999999999999911e+00,2.407310236334370401e+01
1.824999999999999956e+00,2.442439634121966208e+01
1.875000000000000000e+00,2.477002214882120157e+01
1.925000000000000044e+00,2.511000570808389654e+01
1.975000000000000089e+00,2.544437251777469200e+01
2.025000000000000355e+00,2.577314765540431551e+01
2.075000000000000178e+00,2.609635577910808735e+01
2.125000000000000000e+00,2.641402112949528913e+01
2.174999999999999822e+00,2.672616753146720470e+01
2.225000000000000089e+00,2.703281839600397873e+01
2.275000000000000355e+00,2.733399672192045315e+01
2.325000000000000178e+00,2.762972509759106288e+01
2.375000000000000000e+00,2.792002570264398997e+01
2.424999999999999822e+00,2.820492030962461172e+01
2.475000000000000089e+00,2.848443028562845214e+01
2.524999999999999911e+00,2.875857659390371879e+01
2.575000000000000178e+00,2.902737979542352065e+01
2.625000000000000000e+00,2.929086005042799457e+01
2.675000000000000266e+00,2.954903711993624782e+01
2.725000000000000089e+00,2.980193036722849342e+01
2.775000000000000355e+00,3.004955875929828224e+01
2.825000000000000178e+00,3.029194086827502019e+01
2.875000000000000000e+00,3.052909487281688072e+01
2.924999999999999822e+00,3.076103855947419774e+01
2.974999999999999645e+00,3.098778932402348119e+01
3.024999999999999911e+00,3.120936417277206587e+01
3.075000000000000178e+00,3.142577972383360674e+01
3.125000000000000000e+00,3.163705220837442411e+01
3.174999999999999822e+00,3.184319747183086946e+01
3.225000000000000089e+00,3.204423097509769747e+01
3.275000000000000355e+00,3.224016779568765401e+01
3.325000000000000178e+00,3.243102262886227294e+01
3.375000000000000000e+00,3.261680978873405223e+01
3.425000000000000266e+00,3.279754320933998457e+01
3.475000000000000533e+00,3.297323644568661649e+01
3.525000000000000355e+00,3.314390267476666452e+01
3.574999999999999734e+00,3.330955469654733037e+01
3.625000000000000000e+00,3.347020493493023707e+01
3.674999999999999822e+00,3.362586543868327027e+01
3.725000000000000089e+00,3.377654788234421090e+01
3.774999999999999911e+00,3.392226356709632284e+01
3.825000000000000178e+00,3.406302342161596641e+01
3.875000000000000000e+00,3.419883800289223785e+01
3.925000000000000266e+00,3.432971749701872710e+01
3.975000000000000089e+00,3.445567171995750044e+01
4.025000000000000355e+00,3.457671011827525831e+01
4.075000000000001066e+00,3.469284176985188139e+01
4.125000000000000000e+00,3.480407538456124428e+01
4.175000000000000711e+00,3.491041930492445289e+01
4.224999999999999645e+00,3.501188150673552713e+01
4.275000000000000355e+00,3.510846959965961389e+01
4.324999999999999289e+00,3.520019082780368080e+01
4.375000000000000000e+00,3.528705207025983270e+01
4.425000000000000711e+00,3.536905984162125094e+01
4.474999999999999645e+00,3.544622029247078387e+01
4.525000000000000355e+00,3.551853920984225255e+01
4.575000000000000178e+00,3.558602201765446438e+01
4.625000000000000000e+00,3.564867377711799179e+01
4.675000000000000711e+00,3.570649918711480808e+01
4.724999999999999645e+00,3.575950258455065978e+01
4.775000000000000355e+00,3.580768794468036020e+01
4.824999999999999289e+00,3.585105888140591190e+01
4.875000000000000000e+00,3.588961864754757158e+01
4.925000000000000711e+00,3.592337013508779364e+01
4.974999999999999645e+00,3.595231587538815177e+01
5.025000000000000355e+00,3.597645803937916043e+01
5.074999999999999289e+00,3.599579843772312415e+01
5.125000000000000000e+00,3.601033852094991516e+01
5.175000000000000711e+00,3.602007937956577877e+01
5.224999999999999645e+00,3.602502174413510971e+01
5.275000000000000355e+00,3.602516598533524927e+01
5.325000000000001066e+00,3.602051211398428165e+01
5.375000000000000000e+00,3.601105978104186534e+01
5.425000000000000711e+00,3.599680827758302115e+01
5.474999999999999645e+00,3.597775653474500501e+01
5.525000000000000355e+00,3.595390312364709473e+01
5.575000000000001066e+00,3.592524625528344728e+01
5.625000000000000000e+00,3.589178378038894124e+01
5.675000000000000711e+00,3.585351318927796171e+01
5.725000000000001421e+00,3.581043161165617050e+01
5.775000000000000355e+00,3.576253581640525425e+01
5.824999999999999289e+00,3.570982221134055834e+01
5.875000000000000000e+00,3.565228684294171302e+01
5.924999999999998934e+00,3.558992539605609551e+01
5.974999999999999645e+00,3.552273319357517778e+01
6.025000000000000355e+00,3.545070519608377424e+01
6.074999999999999289e+00,3.537383600148208274e+01
6.125000000000000000e+00,3.529211984458049756e+01
6.175000000000000711e+00,3.520555059666724418e+01
6.224999999999999645e+00,3.511412176504873628e+01
6.275000000000000355e+00,3.501782649256260527e+01
6.324999999999999289e+00,3.491665755706341656e+01
6.375000000000000000e+00,3.481060737088101575e+01
6.425000000000000711e+00,3.469966798025141941e+01
6.474999999999999645e+00,3.458383106472034285e+01
6.525000000000000355e+00,3.446308793651911628e+01
6.575000000000001066e+00,3.433742953991311708e+01
6.625000000000000000e+00,3.420684645052261885e+01
6.675000000000000711e+00,3.407132887461590798e+01
6.724999999999999645e+00,3.393086664837479560e+01
6.775000000000000355e+00,3.378544923713231185e+01
6.825000000000001066e+00,3.363506573458260362e+01
6.875000000000000000e+00,3.347970486196300044e+01
6.925000000000000711e+00,3.331935496720804224e+01
6.975000000000001421e+00,3.315400402407561842e+01
7.025000000000000355e+00,3.298363963124499776e+01
7.074999999999999289e+00,3.280824901138671379e+01
7.125000000000000000e+00,3.262781901020428421e+01
7.174999999999998934e+00,3.244233609544762942e+01
7.224999999999999645e+00,3.225178635589812615e+01
7.275000000000000355e+00,3.205615550032531047e+01
7.324999999999999289e+00,3.185542885641502409e+01
7.375000000000000000e+00,3.164959136966896125e+01
7.425000000000000711e+00,3.143862760227562347e+01
7.474999999999999645e+00,3.122252173195245817e+01
7.525000000000000355e+00,3.100125755075918832e+01
7.574999999999999289e+00,3.077481846388222664e+01
7.625000000000000000e+00,3.054318748839005693e+01
7.675000000000000711e+00,3.030634725195950452e+01
7.724999999999999645e+00,3.006427999157285313e+01
7.775000000000000355e+00,2.981696755218556660e+01
7.825000000000001066e+00,2.956439138536469358e+01
7.875000000000000000e+00,2.930653254789772078e+01
7.925000000000000711e+00,2.904337170037184279e+01
