x,phi
2.500000000000000139e-02,1.766054289588835813e+00
7.500000000000001110e-02,1.888869946174219105e+00
1.250000000000000000e-01,2.007018907678863595e+00
1.749999999999999889e-01,2.120678397545026517e+00
2.250000000000000056e-01,2.230018905007506991e+00
2.750000000000000222e-01,2.335204440827498562e+00
3.250000000000000111e-01,2.436392783308730881e+00
3.750000000000000000e-01,2.533735714964926000e+00
4.249999999999999889e-01,2.627379250193568883e+00
4.749999999999999778e-01,2.717463854297502035e+00
5.250000000000000222e-01,2.804124654182881482e+00
5.749999999999999556e-01,2.887491641049535485e+00
6.250000000000000000e-01,2.967689865377763692e+00
6.750000000000000444e-01,3.044839624504058317e+00
7.250000000000000888e-01,3.119056643067108947e+00
7.750000000000000222e-01,3.190452246594759789e+00
8.250000000000000666e-01,3.259133528492303089e+00
8.750000000000000000e-01,3.325203510682584795e+00
9.249999999999999334e-01,3.388761298138890599e+00
9.749999999999999778e-01,3.449902227542403832e+00
1.024999999999999911e+00,3.508718010287230182e+00
1.075000000000000178e+00,3.565296870047487410e+00
1.125000000000000000e+00,3.619723675112815897e+00
1.175000000000000044e+00,3.672080065690812578e+00
1.225000000000000089e+00,3.722444576367345714e+00
1.274999999999999911e+00,3.770892753908429373e+00
1.325000000000000178e+00,3.817497270580376245e+00
1.375000000000000000e+00,3.862328033158193286e+00
1.425000000000000044e+00,3.905452287785747600e+00
1.475000000000000089e+00,3.946934720844980315e+00
1.524999999999999911e+00,3.986837555985480730e+00
1.575000000000000178e+00,4.025220647459959444e+00
1.625000000000000000e+00,4.062141569905627136e+00
1.675000000000000266e+00,4.097655704706153479e+00
1.725000000000000089e+00,4.131816323063738139e+00
1.774999999999999911e+00,4.164674665905918616e+00
1.824999999999999956e+00,4.196280020746958606e+00
1.875000000000000000e+00,4.226679795619118885e+00
1.925000000000000044e+00,4.255919590184707779e+00
1.975000000000000089e+00,4.284043264135572571e+00
2.025000000000000355e+00,4.311093002982640421e+00
2.075000000000000178e+00,4.337109381334182778e+00
2.125000000000000000e+00,4.362131423757727333e+00
2.174999999999999822e+00,4.386196663316908939e+00
2.225000000000000089e+00,4.409341197871064821e+00
2.275000000000000355e+00,4.431599744222026516e+00
2.325000000000000178e+00,4.453005690189320909e+00
2.375000000000000000e+00,4.473591144691900112e+00
2.424999999999999822e+00,4.493386985911516973e+00
2.475000000000000089e+00,4.512422907610001310e+00
2.524999999999999911e+00,4.530727463669901312e+00
2.575000000000000178e+00,4.548328110925306866e+00
2.625000000000000000e+00,4.565251250347100331e+00
2.675000000000000266e+00,4.581522266644414643e+00
2.725000000000000089e+00,4.597165566341695708e+00
2.775000000000000355e+00,4.612204614388490498e+00
2.825000000000000178e+00,4.626661969356868909e+00
2.875000000000000000e+00,4.640559317279280727e+00
2.924999999999999822e+00,4.653917504177611519e+00
2.974999999999999645e+00,4.666756567332208228e+00
3.024999999999999911e+00,4.679095765337803137e+00
3.075000000000000178e+00,4.690953606991404179e+00
3.125000000000000000e+00,4.702347879055492008e+00
3.174999999999999822e+00,4.713295672938162539e+00
3.225000000000000089e+00,4.723813410330239826e+00
3.275000000000000355e+00,4.733916867837813847e+00
3.325000000000000178e+00,4.743621200647143432e+00
3.375000000000000000e+00,4.752940965257444361e+00
3.425000000000000266e+00,4.761890141315631375e+00
3.475000000000000533e+00,4.770482152585790558e+00
3.525000000000000355e+00,4.778729887084828043e+00
3.574999999999999734e+00,4.786645716414492213e+00
3.625000000000000000e+00,4.794241514318778208e+00
3.674999999999999822e+00,4.801528674494542237e+00
3.725000000000000089e+00,4.808518127682047449e+00
3.774999999999999911e+00,4.815220358061075956e+00
3.825000000000000178e+00,4.821645418977197117e+00
3.875000000000000000e+00,4.827802948021783891e+00
3.925000000000000266e+00,4.833702181488401806e+00
3.975000000000000089e+00,4.839351968227251888e+00
4.025000000000000355e+00,4.844760782918443809e+00
4.075000000000001066e+00,4.849936738784013102e+00
4.125000000000000000e+00,4.854887599757757854e+00
4.175000000000000711e+00,4.859620792131139844e+00
4.224999999999999645e+00,4.864143415692717021e+00
4.275000000000000355e+00,4.868462254377834419e+00
4.324999999999999289e+00,4.872583786444518061e+00
4.375000000000000000e+00,4.876514194190868068e+00
4.425000000000000711e+00,4.880259373228504671e+00
4.474999999999999645e+00,4.883824941325983104e+00
4.525000000000000355e+00,4.887216246835450306e+00
4.575000000000000178e+00,4.890438376715169788e+00
4.625000000000000000e+00,4.893496164159961914e+00
4.675000000000000711e+00,4.896394195850993114e+00
4.724999999999999645e+00,4.899136818835800433e+00
4.775000000000000355e+00,4.901728147048862283e+00
4.824999999999999289e+00,4.904172067482496900e+00
4.875000000000000000e+00,4.906472246017354877e+00
4.925000000000000711e+00,4.908632132921237456e+00
4.974999999999999645e+00,4.910654968024502409e+00
5.025000000000000355e+00,4.912543785579803313e+00
5.074999999999999289e+00,4.914301418813473710e+00
5.125000000000000000e+00,4.915930504175364035e+00
5.175000000000000711e+00,4.917433485293516426e+00
5.224999999999999645e+00,4.918812616639607782e+00
5.275000000000000355e+00,4.920069966910658010e+00
5.325000000000001066e+00,4.921207422132074960e+00
5.375000000000000000e+00,4.922226688486689206e+00
5.425000000000000711e+00,4.923129294874033945e+00
5.474999999999999645e+00,4.923916595203689184e+00
5.525000000000000355e+00,4.924589770426149649e+00
5.575000000000001066e+00,4.925149830304249576e+00
5.625000000000000000e+00,4.925597614927804457e+00
5.675000000000000711e+00,4.925933795973749696e+00
5.725000000000001421e+00,4.926158877713655571e+00
5.775000000000000355e+00,4.926273197770131063e+00
5.824999999999999289e+00,4.926276927623262303e+00
5.875000000000000000e+00,4.926170072867829042e+00
5.924999999999998934e+00,4.925952473221697936e+00
5.974999999999999645e+00,4.925623802285399755e+00
6.025000000000000355e+00,4.925183567052527245e+00
6.074999999999999289e+00,4.924631107170233335e+00
6.125000000000000000e+00,4.923965593948694597e+00
6.175000000000000711e+00,4.923186029118078011e+00
6.224999999999999645e+00,4.922291243331137878e+00
6.275000000000000355e+00,4.921279894409193112e+00
6.324999999999999289e+00,4.920150465328861245e+00
6.375000000000000000e+00,4.918901261946522219e+00
6.425000000000000711e+00,4.917530410457102263e+00
6.474999999999999645e+00,4.916035854583367559e+00
6.525000000000000355e+00,4.914415352491507960e+00
6.575000000000001066e+00,4.912666473428385139e+00
6.625000000000000000e+00,4.910786594075404743e+00
6.675000000000000711e+00,4.908772894613537829e+00
6.724999999999999645e+00,4.906622354493592297e+00
6.775000000000000355e+00,4.904331747905385619e+00
6.825000000000001066e+00,4.901897638939036739e+00
6.875000000000000000e+00,4.899316376431095854e+00
6.925000000000000711e+00,4.896584088487800912e+00
6.975000000000001421e+00,4.893696676677238067e+00
7.025000000000000355e+00,4.890649809881690402e+00
7.074999999999999289e+00,4.887438917800965399e+00
7.125000000000000000e+00,4.884059184096941841e+00
7.174999999999998934e+00,4.880505539169063489e+00
7.224999999999999645e+00,4.876772652549937526e+00
7.275000000000000355e+00,4.872854924909637120e+00
7.324999999999999289e+00,4.868746479656701709e+00
7.375000000000000000e+00,4.864441154123248623e+00
7.425000000000000711e+00,4.859932490320980847e+00
7.474999999999999645e+00,4.855213725254194479e+00
7.525000000000000355e+00,4.850277780775289038e+00
7.574999999999999289e+00,4.845117252967546584e+00
7.625000000000000000e+00,4.839724401039252832e+00
7.675000000000000711e+00,4.834091135712518472e+00
7.724999999999999645e+00,4.828209007089353300e+00
7.775000000000000355e+00,4.822069191976821045e+00
7.825000000000001066e+00,4.815662480652253663e+00
7.875000000000000000e+00,4.808979263048662744e+00
