x,phi
2.500000000000000139e-02,1.087514701713135779e+01
7.500000000000001110e-02,1.165381037954930932e+01
1.250000000000000000e-01,1.242498248232504743e+01
1.749999999999999889e-01,1.318866390383764831e+01
2.250000000000000056e-01,1.394485521684817719e+01
2.750000000000000222e-01,1.469355698850011649e+01
3.250000000000000111e-01,1.543476978031979918e+01
3.750000000000000000e-01,1.616849414821681918e+01
4.249999999999999889e-01,1.689473064248445056e+01
4.749999999999999778e-01,1.761347980780006139e+01
5.250000000000000222e-01,1.832474218322552773e+01
5.749999999999999556e-01,1.902851830220762963e+01
6.250000000000000000e-01,1.972480869257845981e+01
6.750000000000000444e-01,2.041361387655580728e+01
7.250000000000000888e-01,2.109493437074355882e+01
7.750000000000000222e-01,2.176877068613208976e+01
8.250000000000000666e-01,2.243512332809863352e+01
8.750000000000000000e-01,2.309399279640767233e+01
9.249999999999999334e-01,2.374537958521130676e+01
9.749999999999999778e-01,2.438928418304963230e+01
1.024999999999999911e+00,2.502570707285110174e+01
1.075000000000000178e+00,2.565464873193287687e+01
1.125000000000000000e+00,2.627610963200119798e+01
1.175000000000000044e+00,2.689009023915173557e+01
1.225000000000000089e+00,2.749659101386994919e+01
1.274999999999999911e+00,2.809561241103142493e+01
1.325000000000000178e+00,2.868715487990220936e+01
1.375000000000000000e+00,2.927121886413915419e+01
1.425000000000000044e+00,2.984780480179024309e+01
1.475000000000000089e+00,3.041691312529493274e+01
1.524999999999999911e+00,3.097854426148446549e+01
1.575000000000000178e+00,3.153269863158219621e+01
1.625000000000000000e+00,3.207937665120389426e+01
1.675000000000000266e+00,3.261857873035807387e+01
1.725000000000000089e+00,3.315030527344629974e+01
1.774999999999999911e+00,3.367455667926348184e+01
1.824999999999999956e+00,3.419133334099818455e+01
1.875000000000000000e+00,3.470063564623288954e+01
1.925000000000000044e+00,3.520246397694432972e+01
1.975000000000000089e+00,3.569681870950375213e+01
2.025000000000000355e+00,3.618370021467720221e+01
2.075000000000000178e+00,3.666310885762581506e+01
2.125000000000000000e+00,3.713504499790606417e+01
2.174999999999999822e+00,3.759950898947007403e+01
2.225000000000000089e+00,3.805650118066581911e+01
2.275000000000000355e+00,3.850602191423744358e+01
2.325000000000000178e+00,3.894807152732549582e+01
2.375000000000000000e+00,3.938265035146719129e+01
2.424999999999999822e+00,3.980975871259665411e+01
2.475000000000000089e+00,4.022939693104515868e+01
2.524999999999999911e+00,4.064156532154136414e+01
2.575000000000000178e+00,4.104626419321156305e+01
2.625000000000000000e+00,4.144349384957991589e+01
2.675000000000000266e+00,4.183325458856865708e+01
2.725000000000000089e+00,4.221554670249833663e+01
2.775000000000000355e+00,4.259037047808805454e+01
2.825000000000000178e+00,4.295772619645563140e+01
2.875000000000000000e+00,4.331761413311784992e+01
2.924999999999999822e+00,4.367003455799066813e+01
2.974999999999999645e+00,4.401498773538939702e+01
3.024999999999999911e+00,4.435247392402892075e+01
3.075000000000000178e+00,4.468249337702388857e+01
3.125000000000000000e+00,4.500504634188888531e+01
3.174999999999999822e+00,4.532013306053864454e+01
3.225000000000000089e+00,4.562775376928819782e+01
3.275000000000000355e+00,4.592790869885307359e+01
3.325000000000000178e+00,4.622059807434947487e+01
3.375000000000000000e+00,4.650582211529443555e+01
3.425000000000000266e+00,4.678358103560596959e+01
3.475000000000000533e+00,4.705387504360329132e+01
3.525000000000000355e+00,4.731670434200688646e+01
3.574999999999999734e+00,4.757206912793873244e+01
3.625000000000000000e+00,4.781996959292242622e+01
3.674999999999999822e+00,4.806040592288331936e+01
3.725000000000000089e+00,4.829337829814864591e+01
3.774999999999999911e+00,4.851888689344770000e+01
3.825000000000000178e+00,4.873693187791192827e+01
3.875000000000000000e+00,4.894751341507505771e+01
3.925000000000000266e+00,4.915063166287324492e+01
3.975000000000000089e+00,4.934628677364518978e+01
4.025000000000000355e+00,4.953447889413220651e+01
4.075000000000001066e+00,4.971520816547837995e+01
4.125000000000000000e+00,4.988847472323068644e+01
4.175000000000000711e+00,5.005427869733902924e+01
4.224999999999999645e+00,5.021262021215638072e+01
4.275000000000000355e+00,5.036349938643888891e+01
4.324999999999999289e+00,5.050691633334594144e+01
4.375000000000000000e+00,5.064287116044023662e+01
4.425000000000000711e+00,5.077136396968789711e+01
4.474999999999999645e+00,5.089239485745852676e+01
4.525000000000000355e+00,5.100596391452531009e+01
4.575000000000000178e+00,5.111207122606500519e+01
4.625000000000000000e+00,5.121071687165812847e+01
4.675000000000000711e+00,5.130190092528888357e+01
4.724999999999999645e+00,5.138562345534533193e+01
4.775000000000000355e+00,5.146188452461937857e+01
4.824999999999999289e+00,5.153068419030682179e+01
4.875000000000000000e+00,5.159202250400738876e+01
4.925000000000000711e+00,5.164589951172482785e+01
4.974999999999999645e+00,5.169231525386689441e+01
5.025000000000000355e+00,5.173126976524540055e+01
5.074999999999999289e+00,5.176276307507622931e+01
5.125000000000000000e+00,5.178679520697936312e+01
5.175000000000000711e+00,5.180336617897890505e+01
5.224999999999999645e+00,5.181247600350306470e+01
5.275000000000000355e+00,5.181412468738422206e+01
5.325000000000001066e+00,5.180831223185889911e+01
5.375000000000000000e+00,5.179503863256773855e+01
5.425000000000000711e+00,5.177430387955554636e+01
5.474999999999999645e+00,5.174610795727126344e+01
5.525000000000000355e+00,5.171045084456793717e+01
5.575000000000001066e+00,5.166733251470274979e+01
5.625000000000000000e+00,5.161675293533694031e+01
5.675000000000000711e+00,5.155871206853581157e+01
5.725000000000001421e+00,5.149320987076873735e+01
5.775000000000000355e+00,5.142024629290906290e+01
5.824999999999999289e+00,5.133982128023409786e+01
5.875000000000000000e+00,5.125193477242509488e+01
5.924999999999998934e+00,5.115658670356717863e+01
5.974999999999999645e+00,5.105377700214928893e+01
6.025000000000000355e+00,5.094350559106414522e+01
6.074999999999999289e+00,5.082577238760818972e+01
6.125000000000000000e+00,5.070057730348151637e+01
6.175000000000000711e+00,5.056792024478782821e+01
6.224999999999999645e+00,5.042780111203431659e+01
6.275000000000000355e+00,5.028021980013163983e+01
6.324999999999999289e+00,5.012517619839380245e+01
6.375000000000000000e+00,4.996267019053810543e+01
6.425000000000000711e+00,4.979270165468504672e+01
6.474999999999999645e+00,4.961527046335821467e+01
6.525000000000000355e+00,4.943037648348421698e+01
6.575000000000001066e+00,4.923801957639258120e+01
6.625000000000000000e+00,4.903819959781561977e+01
6.675000000000000711e+00,4.883091639788836602e+01
6.724999999999999645e+00,4.861616982114840368e+01
6.775000000000000355e+00,4.839395970653580292e+01
6.825000000000001066e+00,4.816428588739297822e+01
6.875000000000000000e+00,4.792714819146456051e+01
6.925000000000000711e+00,4.768254644089727634e+01
6.975000000000001421e+00,4.743048045223982001e+01
7.025000000000000355e+00,4.717095003644270435e+01
7.074999999999999289e+00,4.690395499885811859e+01
7.125000000000000000e+00,4.662949513923977918e+01
7.174999999999998934e+00,4.634757025174280898e+01
7.224999999999999645e+00,4.605818012492351698e+01
7.275000000000000355e+00,4.576132454173931308e+01
7.324999999999999289e+00,4.545700327954851616e+01
7.375000000000000000e+00,4.514521611011016233e+01
7.425000000000000711e+00,4.482596279958388408e+01
7.474999999999999645e+00,4.449924310852970422e+01
7.525000000000000355e+00,4.416505679190785116e+01
7.574999999999999289e+00,4.382340359907859551e+01
7.625000000000000000e+00,4.347428327380202973e+01
7.675000000000000711e+00,4.311769555423791900e+01
7.724999999999999645e+00,4.275364017294547381e+01
7.775000000000000355e+00,4.238211685688315100e+01
7.825000000000001066e+00,4.200312532740846194e+01
7.875000000000000000e+00,4.161666530027777355e+01
7.925000000000000711e+00,4.122273648564606674e+01
7.974999999999999645e+00,4.082133858806670901e+01
8.025000000000000355e+00,4.041247130649129105e+01
8.075000000000001066e+00,3.999613433426933540e+01
8.125000000000000000e+00,3.957232735914815436e+01
8.175000000000000711e+00,3.914105006327248759e+01
8.225000000000001421e+00,3.870230212318436713e+01
8.275000000000000355e+00,3.825608320982283317e+01
8.324999999999999289e+00,3.780239298852369956e+01
8.375000000000000000e+00,3.734123111901930514e+01
8.425000000000000711e+00,3.687259725543825084e+01
8.474999999999999645e+00,3.639649104630512966e+01
8.525000000000000355e+00,3.591291213454029219e+01
8.574999999999999289e+00,3.542186015745956951e+01
