x,phi
2.500000000000000139e-02,1.765581167839787691e+00
7.500000000000001110e-02,1.888361913170327089e+00
1.250000000000000000e-01,2.006475201370621964e+00
1.749999999999999889e-01,2.120098202372973084e+00
2.250000000000000056e-01,2.229401350678883453e+00
2.750000000000000222e-01,2.334548601010811630e+00
3.250000000000000111e-01,2.435697674244255762e+00
3.750000000000000000e-01,2.533000293989065899e+00
4.249999999999999889e-01,2.626602414174859845e+00
4.749999999999999778e-01,2.716644437981916127e+00
5.250000000000000222e-01,2.803261428445945391e+00
5.749999999999999556e-01,2.886583311052643541e+00
6.250000000000000000e-01,2.966735068625920846e+00
6.750000000000000444e-01,3.043836928802136299e+00
7.250000000000000888e-01,3.118004544371555831e+00
7.750000000000000222e-01,3.189349166757531773e+00
8.250000000000000666e-01,3.257977812893644298e+00
8.750000000000000000e-01,3.323993425749097064e+00
9.249999999999999334e-01,3.387495028743173542e+00
9.749999999999999778e-01,3.448577874280363886e+00
1.024999999999999911e+00,3.507333586628974764e+00
1.075000000000000178e+00,3.563850299357528950e+00
1.125000000000000000e+00,3.618212787535119102e+00
1.175000000000000044e+00,3.670502594894011317e+00
1.225000000000000089e+00,3.720798156145244118e+00
1.274999999999999911e+00,3.769174914630695206e+00
1.325000000000000178e+00,3.815705435488092601e+00
1.375000000000000000e+00,3.860459514498721489e+00
1.425000000000000044e+00,3.903504282781098844e+00
1.475000000000000089e+00,3.944904307487647532e+00
1.524999999999999911e+00,3.984721688655427752e+00
1.575000000000000178e+00,4.023016152356190922e+00
1.625000000000000000e+00,4.059845140285488263e+00
1.675000000000000266e+00,4.095263895925213227e+00
1.725000000000000089e+00,4.129325547408825514e+00
1.774999999999999911e+00,4.162081187213551026e+00
1.824999999999999956e+00,4.193579948799097679e+00
1.875000000000000000e+00,4.223869080307842694e+00
1.925000000000000044e+00,4.252994015437049136e+00
1.975000000000000089e+00,4.280998441589409786e+00
2.025000000000000355e+00,4.307924365404154798e+00
2.075000000000000178e+00,4.333812175767006281e+00
2.125000000000000000e+00,4.358700704393508651e+00
2.174999999999999822e+00,4.382627284076601626e+00
2.225000000000000089e+00,4.405627804685809501e+00
2.275000000000000355e+00,4.427736767002045326e+00
2.325000000000000178e+00,4.448987334468784027e+00
2.375000000000000000e+00,4.469411382937226840e+00
2.424999999999999822e+00,4.489039548480074693e+00
2.475000000000000089e+00,4.507901273345643389e+00
2.524999999999999911e+00,4.526024850121230791e+00
2.575000000000000178e+00,4.543437464172001228e+00
2.625000000000000000e+00,4.560165234419029545e+00
2.675000000000000266e+00,4.576233252517686090e+00
2.725000000000000089e+00,4.591665620495120059e+00
2.775000000000000355e+00,4.606485486903297399e+00
2.825000000000000178e+00,4.620715081541830749e+00
2.875000000000000000e+00,4.634375748802675332e+00
2.924999999999999822e+00,4.647487979686723669e+00
2.974999999999999645e+00,4.660071442540301589e+00
3.024999999999999911e+00,4.672145012557688659e+00
3.075000000000000178e+00,4.683726800093912956e+00
3.125000000000000000e+00,4.694834177830277788e+00
3.174999999999999822e+00,4.705483806833387739e+00
3.225000000000000089e+00,4.715691661546746793e+00
3.275000000000000355e+00,4.725473053752426544e+00
3.325000000000000178e+00,4.734842655538734846e+00
3.375000000000000000e+00,4.743814521308351573e+00
3.425000000000000266e+00,4.752402108859929086e+00
3.475000000000000533e+00,4.760618299574796985e+00
3.525000000000000355e+00,4.768475417739026945e+00
3.574999999999999734e+00,4.775985249029863766e+00
3.625000000000000000e+00,4.783159058194246249e+00
3.674999999999999822e+00,4.790007605945919344e+00
3.725000000000000089e+00,4.796541165106511073e+00
3.774999999999999911e+00,4.802769536014762863e+00
3.825000000000000178e+00,4.808702061227037028e+00
3.875000000000000000e+00,4.814347639531151302e+00
3.925000000000000266e+00,4.819714739294561845e+00
3.975000000000000089e+00,4.824811411166914255e+00
4.025000000000000355e+00,4.829645300156017562e+00
4.075000000000001066e+00,4.834223657095354731e+00
4.125000000000000000e+00,4.838553349520334557e+00
4.175000000000000711e+00,4.842640871969595473e+00
4.224999999999999645e+00,4.846492355726809365e+00
